,biox001_seq,biox002_seq,biox003_seq,biox004_seq,biox005_seq,biox006_seq,biox007_seq,biox008_seq,biox009_seq,biox010_seq,biox011_seq,biox012_seq,biox013_seq,biox014_seq,biox015_seq,biox016_seq,biox017_seq,biox018_seq,biox031_seq,biox032_seq,biox033_seq,biox034_seq,biox035_seq,biox036_seq,biox050_seq,biox051_seq,biox052_seq,biox053_seq,biox054_seq,biox055_seq,biox056_seq,biox057_seq,biox058_seq,biox059_seq,biox060_seq,biox061_seq,biox062_seq,biox063_seq,biox064_seq,biox065_seq,biox066_seq,biox079_seq,biox080_seq,biox081_seq,biox082_seq,biox083_seq,biox084_seq,biox097_seq,biox098_seq,biox099_seq,biox100_seq,biox101_seq,biox102_seq,biox103_seq,biox104_seq,biox105_seq,biox106_seq,biox107_seq,biox108_seq,biox109_seq,biox110_seq,biox111_seq,biox112_seq,biox113_seq,biox114_seq,biox127_seq,biox128_seq,biox129_seq,biox130_seq,biox131_seq,biox132_seq
Hungatella_effluvii,0,0,0,64,90,105,109,40,52,122,58,72,41,52,40,35,79,117,62,39,0,0,0,0,0,0,0,0,0,18,0,14,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,20,0,21,0,28,20,44,20,28,0,13,0,0,0,0
Hungatella_sp005845265,0,0,0,39,30,62,52,18,36,78,39,36,25,43,14,32,0,25,17,18,0,0,0,0,0,0,94,45,73,120,22,59,0,94,36,36,89,45,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,12,11,11,24,11,13,20,21,11,29,11,0,0,0,0,0,0,0
Anaerobutyricum_hallii,0,0,0,64,53,90,90,48,64,106,63,81,55,80,75,89,419,638,139,125,0,10,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,15,14,18,36,20,0,0,43,18,34,26,18,0,18,13,12,0,0
Anaerobutyricum_soehngenii,0,0,0,29,22,19,48,12,21,28,28,16,23,30,32,44,267,327,132,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,22,19,32,23,61,44,35,11,74,31,91,112,133,31,60,66,33,0,0
Clostridium_AP_scindens,0,0,0,73,54,102,128,61,75,135,51,91,51,57,44,57,56,65,57,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,20,31,22,34,54,30,20,33,40,26,48,0,0,0,0,0,0,0,0
CAG.317_sp000433535,0,0,0,31,22,47,74,24,32,48,29,47,29,30,36,37,71,80,63,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA3402_sp003478355,0,0,0,36,0,34,58,17,45,70,29,40,29,41,31,31,33,48,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,25,22,34,47,70,32,36,20,83,40,83,43,64,33,25,31,16,0,0
Eubacterium_I_ramulus,0,0,0,27,26,45,55,40,34,59,28,42,44,73,90,115,150,140,205,173,17,60,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,99,135,160,180,217,441,224,196,89,366,114,281,88,142,51,67,49,60,0,0
Lachnoclostridium_phytofermentans_A,0,0,0,22,18,24,55,20,22,31,22,44,21,26,28,28,31,50,40,20,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnoclostridium_B_sp900066555,0,0,0,20,15,26,37,21,19,37,19,26,20,20,0,17,31,51,23,20,0,13,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,36,89,79,123,61,140,86,88,62,169,82,245,97,163,61,109,34,33,0,0
Lachnoclostridium_B_sp900066765,0,0,0,21,14,24,17,13,20,19,0,16,13,17,0,0,32,51,13,17,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,0,0,0,0,0,0,0,0
Anaerosacchariphilus_sp900066385,0,0,0,33,29,25,52,23,27,57,24,27,15,27,18,22,18,32,43,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,16,27,26,23,59,23,24,20,51,20,68,25,55,17,18,0,22,0,0
Mediterraneibacter_massiliensis,0,0,0,13,15,21,20,0,0,15,0,13,10,11,0,0,27,26,17,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediterraneibacter_torques,0,0,0,0,19,21,27,0,0,30,0,22,15,17,21,22,14,29,0,19,17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,25,32,63,51,69,98,60,51,27,109,56,89,41,54,0,43,27,52,0,0
Dorea_A_longicatena,0,0,0,19,21,25,35,13,20,32,17,30,0,22,16,19,81,119,50,26,0,34,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,117,253,234,191,261,547,312,265,108,469,222,470,189,304,69,138,62,61,0,0
Sellimonas_intestinalis,0,0,0,11,11,12,22,0,0,15,15,0,0,0,0,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,21,0,11,0,0,0,0,0,0,0,0,0,0,0,0
GCA.900066755_sp902363085,0,0,0,13,0,14,15,0,12,13,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
UBA9502_sp900555625,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactonifactor_sp009677585,0,0,0,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eisenbergiella_tayi,0,0,0,0,11,11,11,0,0,16,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,16,0,15,0,20,0,0,0,0,0,0,0,0
Anaerotignum_faecicola,0,0,0,1117,865,1115,1555,802,911,1788,908,1269,762,1163,774,1049,697,542,1028,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,1487,738,2053,1723,1897,4412,2272,1946,1122,4315,2191,4246,393,486,393,1242,0,0,0,0
UMGS1670_sp900548595,0,0,0,28,18,31,37,18,25,33,25,33,19,26,34,38,128,182,53,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSJ.32_sp014384895,0,0,0,19,12,0,16,0,0,24,0,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,40,35,113,62,63,157,75,84,59,163,76,162,79,107,67,87,43,75,0,0
Lawsonibacter_sp000177015,0,0,0,654,706,835,1275,537,636,1547,737,853,478,599,439,641,318,380,597,458,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,188,207,268,155,216,484,233,215,227,501,287,445,75,170,111,114,0,0,0,0
Lawsonibacter_sp003478995,0,0,0,92,113,160,213,104,131,283,134,164,78,76,78,113,71,86,102,84,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawsonibacter_sp902363045,0,0,0,88,82,107,148,60,52,166,48,77,56,61,40,62,33,69,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,0,0,0,0,33,25,26,0,40,24,28,0,20,0,0,0,0,0,0
Lawsonibacter_asaccharolyticus,0,0,0,28,46,88,83,26,45,100,39,51,35,40,28,35,26,27,39,34,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,61,51,85,35,40,121,65,69,53,135,84,97,42,97,78,42,17,29,0,0
Lawsonibacter_sp900066825,0,0,0,89,75,110,122,51,83,169,82,107,67,65,59,70,52,57,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,150,128,188,151,167,336,175,168,128,390,217,316,87,119,92,102,45,44,0,0
MGYG000004628,0,0,0,0,13,20,27,11,10,19,14,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Lawsonibacter_sp900066645,0,0,0,0,15,25,15,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,30,57,69,45,52,79,63,46,46,99,36,68,19,65,23,26,0,0,0,0
Flavonifractor_plautii,0,0,0,530,594,880,1044,370,532,1349,527,708,353,335,264,389,386,539,402,245,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,51,58,93,60,70,145,91,77,84,176,108,150,33,71,73,34,0,20,0,0
Evtepia_gabavorous,0,0,0,377,306,602,705,204,464,1028,421,537,271,371,233,307,83,95,189,146,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,1012,948,1319,797,942,2070,1199,1117,1229,2327,1527,2116,872,1631,930,567,29,14,0,0
Dysosmobacter_sp014297375,0,0,0,116,131,142,182,82,119,245,115,144,63,79,80,81,92,145,124,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,26,27,43,29,55,67,40,58,28,100,59,116,22,32,24,0,0,0,0,0
Dysosmobacter_sp900542115,0,0,0,54,40,73,75,30,48,114,39,61,38,34,23,21,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,191,150,211,119,155,381,198,156,190,383,235,425,174,129,225,182,0,0,0,0
Dysosmobacter_welbionis,0,0,0,27,30,36,51,23,30,70,35,38,17,32,0,36,19,28,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,74,47,85,53,52,118,89,69,80,147,132,172,66,117,79,59,0,0,0,0
MGYG000002691,0,0,0,31,27,30,37,0,22,31,13,23,0,0,17,0,14,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,23,0,0,0,0,17,30,0,0,0,0,0,0,0,0
CAG.83_sp000431575,0,0,0,30,34,62,79,38,34,109,38,62,35,40,31,40,12,22,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,75,98,107,58,70,172,96,73,81,168,95,140,51,72,41,34,12,0,0,0
F23.B02_sp004557075,0,0,0,16,10,26,29,0,22,35,13,18,15,15,0,0,0,10,13,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER4_sp000765235,0,0,0,17,0,32,21,17,23,42,18,17,0,17,0,19,0,0,0,16,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,73,29,74,42,45,114,68,48,64,115,90,149,29,51,76,45,0,16,0,0
MGYG000002696,0,0,0,16,10,10,20,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,10,0,0,0,0,0,0,0,0
CAG.110_sp900546075,0,0,0,10,14,0,18,0,0,28,16,10,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoflavonifractor_capillosus,0,0,0,16,13,23,18,0,14,36,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas_butyriciproducens,0,0,0,10,0,0,13,0,12,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,10,0,17,0,0,0,0,0,0
Faecalibacterium_prausnitzii_G,0,0,0,93,88,129,224,86,95,209,101,116,76,93,63,121,161,233,104,75,24,54,66,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,134,93,164,117,124,291,161,109,156,336,179,259,106,175,131,101,39,28,0,15
Faecalibacterium_sp900539885,0,0,0,52,50,59,71,36,50,122,63,49,36,43,21,45,65,115,42,45,14,20,15,13,0,0,30,29,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,15,0,0,38,19,19,13,34,21,66,121,168,117,33,124,246,33,58
Faecalibacterium_prausnitzii_C,0,0,0,45,35,51,86,36,33,97,41,41,33,56,31,34,65,85,45,30,55,73,48,52,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,64,48,39,62,31,48,138,63,86,34,124,61,130,33,72,41,26,42,56,0,39
Faecalibacterium_sp900765105,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,20,0,0,0,22,10,14,0,0,13,0,0,0,0,0
Fournierella_massiliensis,0,0,0,83,58,83,165,71,98,198,105,99,47,98,52,91,172,259,78,67,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fournierella_sp004558145,0,0,0,19,24,22,30,0,14,43,0,13,0,20,17,28,0,26,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bittarella_massiliensis,0,0,0,46,37,65,71,26,28,107,33,53,27,15,25,26,19,36,32,21,0,0,0,0,0,0,13,0,22,21,0,0,0,26,27,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,12,17,0,11,31,16,11,14,32,30,30,27,53,17,15,0,0,0,0
Ruthenibacterium_lactatiformans,0,0,0,44,57,78,64,32,40,92,40,61,18,29,16,46,14,16,42,30,0,20,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,19,21,14,24,53,0,24,17,53,24,49,0,24,28,32,0,0,0,0
Gemmiger_qucibialis,0,0,0,38,26,49,58,21,27,79,37,54,21,38,25,25,31,39,16,24,13,41,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,298,250,396,289,290,707,382,309,336,832,432,767,480,774,431,313,339,677,32,74
UMGS966_sp900547185,0,0,0,22,19,36,33,21,23,47,21,19,0,15,13,19,0,0,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,23,29,0,17,38,22,14,14,63,39,64,0,0,12,12,0,0,0,0
MGYG000004184,0,0,0,11,0,13,18,15,0,39,11,17,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA3818_sp900557155,0,0,0,0,10,0,14,0,0,14,0,15,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,24,38,33,22,62,21,23,23,49,26,57,29,28,0,24,12,0,0,0
Neobittarella_massiliensis,0,0,0,0,0,16,13,13,11,19,13,15,0,13,0,0,0,0,11,14,0,0,0,0,0,0,21,36,21,49,0,31,0,24,17,34,46,22,19,17,14,0,22,23,31,0,0,0,0,0,114,86,107,144,113,94,239,128,98,82,278,199,388,234,402,94,128,134,361,81,102
Acutalibacter_sp000435395,0,0,0,11,28,35,65,23,14,59,27,26,11,18,13,23,16,26,31,16,15,33,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acutalibacter_sp900543555,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acutalibacter_sp900755895,0,0,0,11,15,12,12,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,13,0,0,0,0,0,0
UMGS856_sp900546265,0,0,0,30,23,31,69,20,34,68,20,38,20,37,34,31,23,20,30,34,22,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1417_sp003531055,0,0,0,0,25,19,27,0,14,31,13,30,0,22,0,27,14,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,25,37,36,36,34,52,41,41,31,102,48,74,14,29,55,48,0,32,0,0
Marseille.P4683_sp900232885,0,0,0,14,22,16,25,12,12,28,20,23,15,13,0,0,0,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002697,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1691_sp900544375,0,0,0,0,0,0,10,0,0,10,0,11,0,13,0,0,0,0,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agathobaculum_butyriciproducens,0,0,0,67,53,75,90,46,52,109,42,75,41,54,30,52,60,63,75,47,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,181,190,313,194,223,477,285,284,270,593,377,615,485,853,367,280,181,219,19,59
Agathobaculum_sp900291975,0,0,0,22,14,18,38,12,12,41,0,24,10,14,0,0,11,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,38,38,34,20,20,52,29,32,38,55,50,52,18,40,31,18,0,0,0,0
Paraclostridium_sordellii,0,0,0,256,192,265,137,73,74,180,72,129,77,98,23,23,200,278,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinibacter_bartlettii,0,0,0,59,32,73,37,21,42,50,27,48,31,86,40,38,46,64,27,28,0,0,0,0,0,0,133,165,46,75,15,21,0,44,46,136,139,51,64,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1191_sp900549125,0,0,0,10,0,17,16,10,13,17,0,17,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,27,38,22,23,63,29,44,20,75,29,60,17,41,12,25,0,10,0,0
HGM11507_sp900761005,0,0,0,31,0,15,36,0,16,31,12,24,0,23,14,21,13,15,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_callanderi,0,0,0,16,16,19,14,11,0,29,12,20,0,14,14,10,36,33,10,12,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedimentibacter_sp003457065,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,91,39,45,68,37,43,0,47,25,91,121,84,62,100,86,29,70,41,28,30,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_B_lactis,0,0,0,658,482,599,918,477,647,985,592,783,541,833,569,683,734,867,882,660,218,574,256,307,0,0,0,0,0,0,0,0,0,16,0,18,30,0,0,19,29,0,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_B_durans,0,0,0,158,116,162,250,139,189,265,183,216,134,216,159,171,194,231,212,151,51,126,45,50,0,0,117,95,44,216,47,105,0,107,81,240,275,164,114,158,126,63,100,88,47,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_B_hirae,0,0,0,44,34,41,65,33,51,85,40,55,42,55,46,65,44,65,61,41,10,33,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_C_massiliensis,0,0,0,136,103,126,178,95,127,207,109,178,129,161,101,147,145,191,156,108,30,89,24,42,0,0,21,31,13,24,16,12,0,14,0,29,62,38,36,38,50,21,20,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_D_casseliflavus,0,0,0,35,32,45,68,31,41,60,48,57,41,44,26,47,42,44,50,39,12,17,18,0,0,0,2350,1494,1208,2839,759,1414,49,1635,1073,1995,3534,1781,1306,2482,2593,953,1870,1302,771,762,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_A_devriesei,0,0,0,29,37,43,62,41,40,84,44,50,52,43,40,47,43,55,52,47,11,30,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Enterococcus_faecalis,0,0,0,20,13,20,25,16,13,32,19,24,0,28,0,18,17,27,18,10,0,0,0,0,0,0,1326,1046,640,1639,464,1018,33,917,609,1372,2258,1511,990,2568,2739,972,1636,3020,1848,1513,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_G_italicus,0,0,0,16,0,18,23,12,12,19,13,22,10,11,18,0,12,31,16,10,0,10,0,0,0,0,11,12,0,25,0,0,0,14,11,32,28,21,11,18,22,0,11,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_infantarius,0,0,11,229,211,311,353,184,217,358,220,318,213,359,850,839,3889,5728,1281,1020,8434,23688,6089,8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_lutetiensis,0,0,0,0,14,12,11,12,0,20,0,0,0,14,57,45,206,257,74,38,438,1162,372,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listeria_grayi,0,0,0,35,17,27,38,22,32,36,23,35,26,28,26,21,38,41,20,25,0,15,0,13,0,0,0,0,0,0,0,0,0,12,0,17,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelatoclostridium_ramosum,0,0,0,72,42,38,71,36,51,78,55,55,32,91,79,63,283,347,69,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,29,23,39,31,52,30,18,15,48,41,104,36,78,0,52,0,0,0,0
Faecalibacillus_intestinalis,0,0,0,38,27,30,44,25,28,47,44,40,31,89,81,92,168,164,168,123,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,48,74,105,89,97,238,140,132,40,210,79,237,46,80,26,73,71,130,60,137
Faecalibacillus_faecis,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,26,23,25,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,32,42,40,74,57,162,74,57,20,120,42,129,26,19,31,63,23,24,14,27
