"","biox001_seq","biox002_seq","biox003_seq","biox004_seq","biox005_seq","biox006_seq","biox007_seq","biox008_seq","biox009_seq","biox010_seq","biox011_seq","biox012_seq","biox013_seq","biox014_seq","biox015_seq","biox016_seq","biox017_seq","biox018_seq","biox019_seq","biox020_seq","biox021_seq","biox022_seq","biox023_seq","biox024_seq","biox025_seq","biox026_seq","biox027_seq","biox028_seq","biox029_seq","biox030_seq","biox031_seq","biox032_seq","biox033_seq","biox034_seq","biox035_seq","biox036_seq","biox037_seq","biox038_seq","biox039_seq","biox040_seq","biox041_seq","biox042_seq","biox043_seq","biox044_seq","biox045_seq","biox046_seq","biox047_seq","biox048_seq","biox050_seq","biox051_seq","biox052_seq","biox053_seq","biox054_seq","biox055_seq","biox056_seq","biox057_seq","biox058_seq","biox059_seq","biox060_seq","biox061_seq","biox062_seq","biox063_seq","biox064_seq","biox065_seq","biox066_seq","biox067_seq","biox068_seq","biox069_seq","biox070_seq","biox071_seq","biox072_seq","biox073_seq","biox074_seq","biox075_seq","biox076_seq","biox077_seq","biox078_seq","biox079_seq","biox080_seq","biox081_seq","biox082_seq","biox083_seq","biox084_seq","biox085_seq","biox086_seq","biox087_seq","biox088_seq","biox089_seq","biox090_seq","biox091_seq","biox092_seq","biox093_seq","biox094_seq","biox095_seq","biox096_seq","biox097_seq","biox098_seq","biox099_seq","biox100_seq","biox101_seq","biox102_seq","biox103_seq","biox104_seq","biox105_seq","biox106_seq","biox107_seq","biox108_seq","biox109_seq","biox110_seq","biox111_seq","biox112_seq","biox113_seq","biox114_seq","biox115_seq","biox116_seq","biox117_seq","biox118_seq","biox119_seq","biox120_seq","biox121_seq","biox122_seq","biox123_seq","biox124_seq","biox125_seq","biox126_seq","biox127_seq","biox128_seq","biox129_seq","biox130_seq","biox131_seq","biox132_seq","biox133_seq","biox134_seq","biox135_seq","biox136_seq","biox137_seq","biox138_seq","biox139_seq","biox140_seq","biox141_seq","biox142_seq","biox143_seq","biox144_seq"
"Enterococcus_A_devriesei",0,0,0,29,37,43,62,41,40,84,44,50,52,43,40,47,43,55,71,36,13,27,19,24,59,40,0,19,13,23,52,47,11,30,0,11,16,14,35,41,20,51,21,25,20,37,86,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,20,13,20,25,16,13,32,19,24,0,28,0,18,17,27,34,17,11,25,11,11,29,10,0,33,0,0,18,10,0,0,0,0,0,0,18,19,0,11,0,16,10,0,20,13,0,0,1326,1046,640,1639,464,1018,33,917,609,1372,2258,1511,990,2568,2739,3654,2484,7230,3323,1764,4753,3357,2403,4616,5926,2926,2205,972,1636,3020,1848,1513,1841,3077,2067,2913,2152,1971,1688,2182,1757,2224,2057,2349,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_G_italicus",0,0,0,16,0,18,23,12,12,19,13,22,10,11,18,0,12,31,25,12,0,11,0,0,18,11,0,0,0,10,16,10,0,10,0,0,0,0,13,12,0,0,0,0,0,13,27,0,0,0,11,12,0,25,0,0,0,14,11,32,28,21,11,18,22,60,26,32,13,0,13,35,16,23,18,15,0,0,11,11,11,0,11,40,18,23,27,19,21,25,11,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_infantarius",0,0,11,229,211,311,353,184,217,358,220,318,213,359,850,839,3889,5728,1882,1419,12061,9375,8610,13296,1695,1105,6128,9622,11259,15301,1281,1020,8434,23688,6089,8635,293,275,1279,1558,9194,16940,245,475,714,1026,2127,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,14,12,11,12,0,20,0,0,0,14,57,45,206,257,87,72,739,478,475,702,91,53,351,494,667,865,74,38,438,1162,372,512,13,11,69,84,508,820,15,18,44,50,121,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeria_grayi",0,0,0,35,17,27,38,22,32,36,23,35,26,28,26,21,38,41,31,21,0,0,0,18,44,21,0,15,0,0,20,25,0,15,0,13,0,16,20,26,14,22,0,22,0,21,38,21,0,0,0,0,0,0,0,0,0,12,0,17,0,10,0,0,0,13,18,0,0,0,0,12,14,0,0,0,0,0,10,0,0,0,0,28,10,15,10,19,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0,0,72,42,38,71,36,51,78,55,55,32,91,79,63,283,347,94,93,0,13,0,0,72,46,0,0,0,0,69,53,0,0,0,0,21,39,61,65,0,0,25,46,35,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,29,23,39,31,52,30,18,15,48,41,104,36,78,18,18,0,0,0,0,14,61,0,0,0,0,0,52,0,0,0,0,13,14,20,18,0,0,0,12,0,15,0,0
"Faecalibacillus_intestinalis",0,0,0,38,27,30,44,25,28,47,44,40,31,89,81,92,168,164,25,19,18,43,0,14,61,32,0,22,0,12,168,123,0,34,0,0,17,34,49,57,0,0,41,61,55,104,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,48,74,105,89,97,238,140,132,40,210,79,237,46,80,44,92,312,424,82,107,41,98,84,171,65,104,26,73,71,130,60,137,13,28,54,65,423,701,0,47,19,33,86,87
"Faecalibacillus_faecis",0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,26,23,0,0,0,0,0,0,10,0,0,0,0,0,25,15,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,32,42,40,74,57,162,74,57,20,120,42,129,26,19,29,64,86,96,14,17,14,82,13,35,0,17,31,63,23,24,14,27,10,23,47,47,27,51,0,21,0,14,0,12
"Holdemania_massiliensis",0,0,0,22,18,38,34,12,15,35,18,23,12,15,10,11,13,19,16,23,0,0,0,0,12,11,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_adolescentis",0,0,0,1146,1298,1767,2294,966,1176,2593,1177,1565,904,1167,1418,1833,2197,2948,1512,824,2112,1805,4842,5588,2040,1299,2348,2351,8660,12671,3094,2041,8368,14640,8368,9045,683,471,551,884,1352,1649,1165,2234,2493,3094,12382,9019,0,0,697,409,792,385,168,300,0,338,492,407,1109,329,491,1876,2775,523,346,3302,381,7101,15552,713,618,7256,3245,15166,13950,294,456,9614,5608,8936,13298,621,659,553,479,1690,1370,388,824,4007,1431,17619,6872,0,0,0,1312,1212,1114,1795,980,1173,2551,1445,1261,1665,3253,2915,4036,5058,9293,1052,1698,3245,5317,8135,8998,2720,3093,3433,7384,12159,14740,3516,1898,4225,8769,6857,8659,1071,963,763,1053,2214,1639,1476,2148,1798,2457,3123,2321
"Bifidobacterium_ruminantium",0,0,0,78,87,112,167,78,70,200,79,105,89,86,99,129,183,200,122,61,166,127,390,444,149,101,187,185,761,1017,239,160,613,1122,678,752,54,30,38,78,117,134,86,185,173,230,963,732,0,0,52,23,64,34,0,21,0,17,29,23,77,26,30,133,224,41,21,290,26,579,1248,51,47,557,267,1109,1169,24,29,755,434,765,1138,45,54,37,34,153,117,25,66,372,88,1405,521,0,0,0,112,114,97,192,82,114,200,123,122,154,318,250,345,390,627,90,161,277,429,779,983,232,250,314,555,1110,1415,300,139,338,821,762,960,118,91,85,88,382,228,125,215,151,218,451,282
"Bifidobacterium_infantis",0,0,0,0,10,12,33,0,0,35,12,20,15,12,13,19,21,36,11,0,15,19,31,25,36,12,30,23,43,41,78,44,49,118,39,18,13,0,0,13,24,30,28,51,26,50,91,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,14,21,0,0,17,0,0,15,0,0,0,0,0,0,0,0,0,0,29,17,0,0,0,547,494,473,734,422,465,1054,574,520,670,1434,1288,1698,1649,3455,408,600,783,1395,718,772,1149,1317,1427,3074,5908,8499,1496,751,1967,3951,2616,4281,441,398,456,571,1809,1512,612,867,961,1278,5062,3900
"Bifidobacterium_catenulatum",0,0,0,17,29,33,31,16,21,32,14,20,13,16,22,19,36,52,16,17,27,27,91,88,24,21,32,38,164,177,54,28,133,245,144,154,10,0,0,13,12,33,17,45,29,70,211,153,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,18,23,0,0,35,0,61,112,10,0,66,33,121,126,0,0,99,35,94,119,0,0,0,0,11,10,0,10,35,18,152,50,0,0,0,215,166,144,268,155,163,349,206,189,182,443,266,440,273,536,122,272,332,572,1241,1613,241,311,314,556,1419,1847,257,183,424,1136,1286,1387,131,124,112,151,957,435,104,223,246,340,836,550
"Bifidobacterium_pseudocatenulatum",0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,15,0,10,0,0,11,13,20,25,10,0,11,10,45,66,16,0,53,75,43,56,0,0,0,0,0,0,0,0,12,18,60,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,14,0,26,81,0,0,42,10,66,66,0,0,47,21,50,65,0,0,0,0,11,0,0,0,14,0,91,31,0,0,12,3181,2467,2481,4139,2399,2634,5597,3271,3088,2993,6933,4886,6688,4226,8161,2073,3907,5537,8895,23029,27348,3876,5360,4768,9068,21473,28742,4333,3076,7216,19210,21988,21023,2160,1999,1926,2588,17334,7968,1889,3752,3950,5143,14771,9467
"Eggerthella_lenta",0,0,0,464,540,730,990,367,499,1173,442,592,344,373,262,340,186,294,374,204,129,154,81,122,334,249,38,75,59,95,361,266,96,188,48,51,232,156,79,145,34,65,186,316,42,131,50,44,0,0,26,12,25,14,0,12,0,25,15,17,28,0,15,0,0,23,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,30,19,13,16,0,0,12,27,0,0,0,0,0,0,0,65,57,49,111,36,50,133,55,57,68,140,97,107,49,79,39,47,52,79,0,14,77,66,29,60,13,15,54,29,24,36,0,18,42,48,27,31,0,0,48,58,21,36,0,0
"Eggerthella_sp014287365",0,0,0,0,0,15,14,0,0,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,13,0,0,11,0,0,0,0,0,0,14,25,36,0,0,0,17,10,18,0,0,0,0,0,10,0,0,0,0,19,23
"Adlercreutzia_celatus_A",0,0,0,78,97,140,197,69,135,198,111,140,56,71,43,90,71,92,122,60,80,62,69,84,87,44,22,40,62,106,90,52,88,116,48,56,54,29,16,37,31,30,53,75,16,27,27,22,0,0,30,32,50,44,24,42,0,28,27,14,69,15,19,22,17,41,22,0,0,0,0,37,28,0,0,0,0,15,0,0,0,0,0,83,62,31,31,0,0,17,44,14,0,0,0,0,0,0,142,173,127,233,123,160,289,174,149,216,369,269,316,115,224,119,184,83,155,27,47,192,239,33,86,48,70,220,102,53,49,34,38,134,105,105,118,25,15,113,175,56,101,34,22
"MGYG000002712",0,0,0,21,28,38,56,21,26,68,23,30,19,26,20,23,21,16,27,23,14,19,23,21,31,16,10,16,31,28,27,20,12,36,17,17,12,10,0,0,0,12,11,22,0,0,0,0,0,0,21,0,18,12,0,12,0,0,0,0,26,0,0,0,0,13,0,0,0,0,0,26,16,0,0,0,0,0,0,0,0,0,0,49,18,0,28,0,0,13,14,0,0,0,0,0,0,0,69,76,49,98,50,56,137,74,62,60,164,97,159,58,107,64,78,39,76,27,19,87,108,25,28,27,33,100,41,19,18,16,29,64,48,29,63,0,0,44,85,42,28,13,0
"Gordonibacter_pamelaeae",0,0,0,43,38,69,86,30,39,83,36,36,21,27,21,36,25,17,32,12,21,22,0,11,29,0,0,0,0,17,21,22,16,22,0,0,29,0,0,0,0,0,29,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,22,31,10,30,39,22,28,30,55,34,44,15,35,23,21,23,29,0,10,22,27,0,19,0,0,22,11,0,17,10,11,15,11,0,12,0,0,15,30,13,13,0,0
"Gordonibacter_sp003339845",0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellagibacter_sp900554945",0,0,0,0,17,10,17,0,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MGYG000002754",0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_sp900759335",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella_sp009767915",0,0,0,962,880,1252,1569,613,835,1682,769,1062,633,781,601,786,520,565,969,625,167,199,56,89,874,576,36,77,39,56,804,552,84,162,22,33,419,324,329,593,44,115,374,708,97,287,64,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0,0,0,0,29,23,36,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,56,61,82,30,74,0,71,51,56,113,48,59,47,52,76,58,35,0,0,13,88,55,22,29,0,0,28,55,24,11,0,0,192,91,73,63,0,0,75,68,20,23,0,0,0,0,0,168,101,134,211,155,122,333,191,140,102,309,157,232,94,141,55,132,73,161,49,48,123,164,40,122,41,58,83,94,45,81,15,54,59,64,81,88,92,71,16,86,35,70,24,44
"Mesosutterella_multiformis",0,0,0,190,205,345,487,175,228,479,203,262,177,230,182,257,241,507,324,208,158,401,144,171,375,203,63,343,109,173,326,211,256,532,96,101,138,95,167,217,150,626,134,304,128,260,295,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,17,17,11,16,0,0,0,11,0,10,12,0,10,0,46,38,0,0,15,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesosutterella_massiliensis",0,0,0,0,0,10,13,0,0,12,0,10,0,16,0,10,10,17,13,0,0,13,0,0,0,0,0,13,0,0,0,0,0,17,0,0,0,0,10,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli_D",0,0,0,1015,926,1269,1438,715,806,1488,801,1041,756,1049,578,842,599,526,897,641,288,634,248,328,821,576,214,283,407,419,786,670,274,376,285,280,471,353,360,571,130,230,295,641,197,296,284,201,31,44,5022,2973,2638,5568,1787,3453,64,3326,2544,3075,5568,2598,2057,4079,3798,5284,3627,4732,2059,1176,3467,6013,4025,5411,5384,3110,2353,1303,2211,3978,2562,1861,2154,10408,5662,7259,5818,6055,4451,4272,3164,4218,2814,5615,2567,31,15,15,16950,10758,13247,16427,12635,12970,27916,16448,13352,9696,27623,14003,20339,4289,6888,4410,9444,3788,6602,3929,5256,5447,11647,1999,3772,3251,5107,3918,6128,1932,3354,3209,5874,4987,5734,4107,5123,7566,13353,3200,8527,1810,2540,3003,2648
"Escherichia_fergusonii",0,0,0,31,21,32,40,22,29,43,35,35,24,31,0,25,15,25,14,14,0,0,0,0,15,0,0,0,0,0,29,16,0,0,0,0,12,0,14,13,0,0,0,16,0,0,0,0,0,0,261,140,144,273,85,187,0,179,119,151,315,104,95,188,148,284,204,231,69,45,161,302,194,287,258,129,138,60,96,208,139,73,83,515,261,349,275,300,201,228,133,241,142,303,150,0,0,0,655,480,540,762,595,556,1136,636,560,429,1164,582,786,180,252,186,462,163,228,176,239,244,452,64,132,104,193,181,255,61,117,121,244,245,245,166,185,312,630,174,375,92,143,121,112
"Escherichia_albertii",0,0,0,19,15,25,18,15,15,18,11,15,0,17,13,16,12,0,16,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,60,32,38,73,17,31,0,27,24,55,73,30,23,58,47,99,39,42,20,0,43,91,42,63,43,35,23,27,34,56,31,22,31,129,78,80,72,71,56,58,40,51,34,71,20,0,0,0,413,259,285,346,290,288,703,416,320,235,636,326,480,96,154,105,225,84,139,89,108,146,278,39,69,69,108,100,129,42,76,59,111,124,126,93,134,193,288,95,193,47,58,67,46
"Escherichia_sp000208585",0,0,0,11,0,10,10,0,11,21,0,12,10,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,61,49,86,33,57,0,49,32,36,90,36,32,63,53,86,53,76,27,19,57,102,59,106,74,55,60,12,33,75,30,51,42,174,79,120,117,107,97,68,51,86,41,133,72,0,0,0,191,143,179,209,175,133,315,169,178,136,328,191,220,46,84,49,126,48,73,53,55,71,134,25,35,31,68,41,67,20,32,38,87,65,92,43,55,110,168,74,109,33,34,48,24
"Escherichia_marmotae",0,0,0,0,0,0,10,0,0,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,13,32,10,23,0,0,0,13,28,14,0,26,19,31,19,21,14,0,20,35,15,30,35,10,12,0,20,23,17,17,11,50,20,46,28,42,32,23,16,28,13,49,22,0,0,0,112,75,104,128,112,84,244,127,102,76,199,91,159,29,48,32,67,25,47,37,46,49,84,0,27,14,27,22,46,17,25,23,42,35,41,31,33,58,100,26,68,11,14,26,21
"CAG.495_sp900540425",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_invisus",0,0,0,347,279,444,552,280,347,660,297,425,256,302,247,315,282,453,428,275,19,222,16,31,361,205,0,154,16,30,385,249,20,21,12,16,128,121,129,194,0,13,152,229,41,188,13,0,0,0,263,216,151,433,151,239,0,236,141,249,468,217,161,201,187,504,312,29,0,0,16,467,318,20,32,11,0,131,190,17,0,0,0,859,464,325,344,0,0,370,280,31,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bilophila_wadsworthia",0,0,0,63,59,85,147,64,62,159,61,89,50,57,45,66,51,69,73,38,16,42,26,23,71,44,0,32,18,21,64,40,40,69,0,10,35,21,30,34,0,23,19,66,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,34,36,30,43,63,34,29,42,74,45,75,27,62,20,36,30,67,11,0,38,48,10,35,0,0,28,25,13,29,0,0,23,15,10,12,15,12,17,36,23,19,0,0
"Akkermansia_muciniphila_A",0,0,0,45,40,51,91,36,52,97,41,48,34,21,20,26,0,0,37,30,0,0,0,0,32,21,0,0,0,0,45,23,0,0,0,0,12,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agathobacter_faecis",0,0,0,13,0,13,0,0,0,19,0,0,11,16,0,0,0,0,12,0,99,0,81,166,0,0,47,12,131,193,0,0,59,157,67,84,0,0,0,0,73,104,0,0,0,0,64,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,61,91,105,123,139,255,161,115,66,262,112,334,101,145,49,95,347,774,137,204,59,160,114,488,256,254,53,97,150,344,142,236,46,53,67,82,275,190,0,46,11,45,80,145
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0,0,10,0,0,0,0,19,21,78,112,37,27,294,204,190,311,22,19,135,208,239,351,32,20,176,535,136,190,0,0,27,30,203,414,10,13,11,22,49,37,0,0,0,0,0,24,0,0,0,0,0,18,24,0,0,14,0,0,0,17,0,0,0,20,20,0,18,0,0,0,0,0,0,0,0,20,15,19,13,23,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,11,14,0,0,0,0,12,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,62,79,38,28,177,196,135,237,27,27,114,145,189,277,0,13,124,318,100,181,0,0,26,20,159,254,0,0,0,15,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_equinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,30,48,14,13,143,91,90,145,16,18,61,90,116,142,11,0,61,201,69,105,0,0,0,13,90,136,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Longicatena_caecimuris",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
